TABLE_NAME;TABLE_ALIAS;COLUMN_NAME;COLUMN_LABEL;COLUMN_DESC
AGMT;AG;ENT_ID;Identifiant entité;"Identifiant national de lentité déclarante
Correspond au code consolidation comptable (sur 5 caractères)"
AGMT;AG;STTM_DT;Date d'arrêté;Date d'arrêté
AGMT;AG;AGMT_ID;Identifiant ZP du contrat;"Permet d'identifier de manière unique le contrat dans le système Zone de Partage
Notion technique a-significative et invariante dans le temps (d'un arrêté sur l'autre)"
AGMT;AG;SRC_CD;Source;Code du système opérationnel de gestion ou système remettant de l'objet métier
AGMT;AG;MKT_TYPE_CD;Type de marché;"Permet d'identifier la clientèle du contrat
Valeurs possibles : Retail (R), Corporate (C)"
AGMT;AG;HOST_AGMT_ID;Identifiant local contrat;Identifiant technique local du contrat
AGMT;AG;HOST_AGMT_NUM;Référence locale contrat;Référence unique du contrat dans le système de gestion local de l'entité remettante
AGMT;AG;HOST_SUB_AGMT_NUM;Référence locale élément contrat;"Référence Unique de l'élément du contrat dans le système de gestion source de l'entité remettante
Pour une entité juridique, c'est la déclinaison financière du contrat au niveau du système de gestion mais n'en est qu'une instance parmi N. Cette référence est unique pour le système de gestion associé (et la Référence Unique de contrat). 
Si il n'y a pas d'élément de contrat dissocié du contrat au sein du système de gestion, l'élément de contrat porte la même référence que celle du contrat."
AGMT_RLTD;AGR;PARNT_AGMT_ID;Identifiant Ligne autorisation;"Permet d'identifier de manière unique le contrat parent dans le système Zone de Partage
Notion technique a-significative et invariante dans le temps (d'un arrêté sur l'autre)"
AGMT_RLTD;AGR;PARNT_AGMT_ID;Identifiant contrat parent;"Permet d'identifier de manière unique le contrat parent dans le système Zone de Partage
Notion technique a-significative et invariante dans le temps (d'un arrêté sur l'autre)"
AGMT;AG;FLOW_TYPE_CD;Objet Métier;Type denregistrement dans la création de la ligne en base (ex : P3C)
AGMT;AG;FLOW_SCOPE;Périmètre du flux;Périmètre du fichier (maître) qui créé la ligne en base
AGMT;AG;PROD_TYPE_CD;Type produit;Non renseigné
EXPSR_AGMT;EX;RISK_TYPE_CD;Code type risque;Classification de l'opération selon la nomenclature risque.
REF_START_TA0990KVTYPRIS;TYPRISE;KVLBRISE;Type de risque;Codification du produit autorisé.
AGMT;AG;OPRTN_NATR_CD;Nature opération;"Correspond à la classification de l'encours selon la nomenclature Groupe CA NATO commune aux Risques et à la Comptabilité.
Il s'agit ici de la NATure d'Opération telle que déterminée et employée par l'entité dans son rapprochement comptabilité/risques."
