TABLE_NAME;TABLE_TYPE;TABLE_LABEL;TABLE_DESCRIPTION;FIELD_ID;FIELD_NAME;FIELD_TYPE;FIELD_LABEL;FIELD_DESCRIPTION;EXPRESSION;HIDDEN;ICON;ALIAS;FOLDER;ROLE
TEC_AUTORIZATION_LINE;Final;;;AGR_AL.PARNT_AGMT_ID;PARNT_AGMT_ID;characterLength16;Identifiant contrat parent;;[DATA].[AGR_AL].[PARNT_AGMT_ID];false;Identifier;;;Field
TEC_AUTORIZATION_LINE;Final;;;AUTORIZATION_LINE.PTA_BNF.PRTY_ID;PRTY_ID;characterLength16;Identifiant du Tiers Bénéficiaire;;[DATA].[AUTORIZATION_LINE].[PTA_BNF.PRTY_ID];false;Identifier;;;Field
TEC_AUTORIZATION_LINE;Final;;;AUTORIZATION_LINE.PTA_BNF.ENT_ID;ENT_ID;int32;Entité rattachée au Tiers Bénéficiaire;;[DATA].[AUTORIZATION_LINE].[PTA_BNF.ENT_ID];false;Identifier;;;Field
TEC_AUTORIZATION_LINE;Final;;;AUTORIZATION_LINE.PTA_BNF.PTY;(TEC_PARTY) AUTORIZATION_LINE.PTA_BNF.PTY;;;;[DATA].[AUTORIZATION_LINE].[PTA_BNF.PTY;false;Attribute;;;FolderRefView
TEC_AUTORIZATION_LINE;Final;;;AUTORIZATION_LINE.PTA_TIT.PTY;(TEC_PARTY) AUTORIZATION_LINE.PTA_TIT.PTY;;;;[DATA].[AUTORIZATION_LINE].[PTA_TIT.PTY;false;Attribute;;;FolderRefView
TEC_AUTORIZATION_LINE;Final;;;AUTORIZATION_LINE.EX_AL.EXPSR_SBTYPE_CD;EXPSR_SBTYPE_CD;characterLength16;Sous-type contrat exposition;;[DATA].[AUTORIZATION_LINE].[EX_AL.EXPSR_SBTYPE_CD];false;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;AUTORIZATION_LINE.EX_AL.EXPSR_NATR_CD;EXPSR_NATR_CD;characterLength16;Nature exposition;;[DATA].[AUTORIZATION_LINE].[EX_AL.EXPSR_NATR_CD];false;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;AUTORIZATION_LINE.EX_AL.RISK_TYPE_CD;RISK_TYPE_CD;characterLength16;Type risque;;[DATA].[AUTORIZATION_LINE].[EX_AL.RISK_TYPE_CD];false;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;AUTORIZATION_LINE.EX_AL.FAC_AMT;FAC_AMT;decimal;Montant Ligne d'autorisation;;[DATA].[AUTORIZATION_LINE].[EX_AL.FAC_AMT];false;Fact;;;Field
TEC_AUTORIZATION_LINE;Final;;;AUTORIZATION_LINE.EX_AL.BSL_II_APRCH_TYPE_CD;BSL_II_APRCH_TYPE_CD;characterLength16;Méthodologie Bâloise;Correspond à la méthode de calcul des risques pondérés dans Bâle.;[DATA].[AUTORIZATION_LINE].[EX_AL.BSL_II_APRCH_TYPE_CD];false;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;AUTORIZATION_LINE.EX_AL.RWA_ENGN_CD;RWA_ENGN_CD;characterLength16;Traitement moteur;;[DATA].[AUTORIZATION_LINE].[EX_AL.RWA_ENGN_CD];false;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;AUTORIZATION_LINE.EX_AL.DRWG_DEADLN_DT;DRWG_DEADLN_DT;date;Date limite initialisation tirage;;[DATA].[AUTORIZATION_LINE].[EX_AL.DRWG_DEADLN_DT];false;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;AUTORIZATION_LINE.EX_AL.FAC_AUTHZD_CURY_CD;FAC_AUTHZD_CURY_CD;characterLength16;Devise restriction ligne autorisation;;[DATA].[AUTORIZATION_LINE].[EX_AL.FAC_AUTHZD_CURY_CD];false;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;AUTORIZATION_LINE.EX_AL.EXPSR_MAXIMAL_DURTN_NUM;EXPSR_MAXIMAL_DURTN_NUM;characterLength16;Durée maximale engagement;;[DATA].[AUTORIZATION_LINE].[EX_AL.EXPSR_MAXIMAL_DURTN_NUM];false;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;AUTORIZATION_LINE.EX_AL.DFLT_LIQUITY_CD;DFLT_LIQUITY_CD;characterLength16;Liquidité par défaut;Indique le délai prévisible de réalisation de notre engagement sur le marché en cas de revente.;[DATA].[AUTORIZATION_LINE].[EX_AL.DFLT_LIQUITY_CD];false;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;AUTORIZATION_LINE.EX_AL.AUTHZD_TSACTN_RTG_VAL;AUTHZD_TSACTN_RTG_VAL;characterLength16;Valeur note transaction autorisée;;[DATA].[AUTORIZATION_LINE].[EX_AL.AUTHZD_TSACTN_RTG_VAL];false;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;AUTORIZATION_LINE.EX_AL.FAC_AMT_CURY_CD;FAC_AMT_CURY_CD;characterLength16;Devise Ligne d'autorisation;;[DATA].[AUTORIZATION_LINE].[EX_AL.FAC_AMT_CURY_CD];false;Attribute;;;Field
