TABLE_NAME;TABLE_TYPE;TABLE_LABEL;TABLE_DESCRIPTION;FIELD_NAME;FIELD_TYPE;FIELD_LABEL;FIELD_DESCRIPTION;EXPRESSION;HIDDEN;ICON;ALIAS;FOLDER;ROLE
TEC_AUTORIZATION_LINE;Final;;;PARNT_AGMT_ID;characterLength16;Identifiant contrat parent;;[DATA].[AGR_AL].[PARNT_AGMT_ID];false;Identifier;;;Field
TEC_AUTORIZATION_LINE;Final;;;AGMT_ID;characterLength16;;;[DATA].[AGR_AL].[AGMT_ID];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;AGMT_RLTD_RSN_CD;characterLength16;;;[DATA].[AGR_AL].[AGMT_RLTD_RSN_CD];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;PARNT_HOST_AGMT_ID;characterLength16;;;[DATA].[AGR_AL].[PARNT_HOST_AGMT_ID];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;PARNT_SRC_CD;characterLength16;;;[DATA].[AGR_AL].[PARNT_SRC_CD];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;STTM_DT;date;;;[DATA].[AGR_AL].[STTM_DT];true;Identifier;;;Field
TEC_AUTORIZATION_LINE;Final;;;STTM_TYPE_CD;characterLength16;;;[DATA].[AGR_AL].[STTM_TYPE_CD];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;POSTNG_ENT_ID;characterLength16;;;[DATA].[AGR_AL].[POSTNG_ENT_ID];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;ENT_ID;int32;;;[DATA].[AGR_AL].[ENT_ID];true;Identifier;;;Field
TEC_AUTORIZATION_LINE;Final;;;FLOW_TYPE_CD;characterLength16;;;[DATA].[AGR_AL].[FLOW_TYPE_CD];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;FLOW_SCOPE;characterLength16;;;[DATA].[AGR_AL].[FLOW_SCOPE];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;SOURCE_SYSTEM;characterLength16;;;[DATA].[AGR_AL].[SOURCE_SYSTEM];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;STATUS;characterLength16;;;[DATA].[AGR_AL].[STATUS];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;LINE_NUMBER;int32;;;[DATA].[AGR_AL].[LINE_NUMBER];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;FILE_ID;int32;;;[DATA].[AGR_AL].[FILE_ID];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;JOB_ID;int32;;;[DATA].[AGR_AL].[JOB_ID];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;BEGIN_TT;timeStampTZ;;;[DATA].[AGR_AL].[BEGIN_TT];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;END_TT;timeStampTZ;;;[DATA].[AGR_AL].[END_TT];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;AGMT_ID;characterLength16;;;[DATA].[AUTORIZATION_LINE].[PTA_BNF.AGMT_ID];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;PRTY_ID;characterLength16;Identifiant du Tiers Bénéficiaire;;[DATA].[AUTORIZATION_LINE].[PTA_BNF.PRTY_ID];true;Identifier;;;Field
TEC_AUTORIZATION_LINE;Final;;;PRTY_AGMT_ROLE_CD;characterLength16;;;[DATA].[AUTORIZATION_LINE].[PTA_BNF.PRTY_AGMT_ROLE_CD];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;CENTRL_MGMT_IND;character;;;[DATA].[AUTORIZATION_LINE].[PTA_BNF.CENTRL_MGMT_IND];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;NATL_IDNTFTN_TYPE_CD;characterLength16;;;[DATA].[AUTORIZATION_LINE].[PTA_BNF.NATL_IDNTFTN_TYPE_CD];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;NATL_IDNTFTN_ID;characterLength16;;;[DATA].[AUTORIZATION_LINE].[PTA_BNF.NATL_IDNTFTN_ID];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;STTM_DT;date;;;[DATA].[AUTORIZATION_LINE].[PTA_BNF.STTM_DT];true;Identifier;;;Field
TEC_AUTORIZATION_LINE;Final;;;STTM_TYPE_CD;characterLength16;;;[DATA].[AUTORIZATION_LINE].[PTA_BNF.STTM_TYPE_CD];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;POSTNG_ENT_ID;characterLength16;;;[DATA].[AUTORIZATION_LINE].[PTA_BNF.POSTNG_ENT_ID];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;ENT_ID;int32;Entité rattachée au Tiers Bénéficiaire;;[DATA].[AUTORIZATION_LINE].[PTA_BNF.ENT_ID];true;Identifier;;;Field
TEC_AUTORIZATION_LINE;Final;;;FLOW_TYPE_CD;characterLength16;;;[DATA].[AUTORIZATION_LINE].[PTA_BNF.FLOW_TYPE_CD];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;FLOW_SCOPE;characterLength16;;;[DATA].[AUTORIZATION_LINE].[PTA_BNF.FLOW_SCOPE];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;SOURCE_SYSTEM;characterLength16;;;[DATA].[AUTORIZATION_LINE].[PTA_BNF.SOURCE_SYSTEM];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;STATUS;characterLength16;;;[DATA].[AUTORIZATION_LINE].[PTA_BNF.STATUS];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;LINE_NUMBER;int32;;;[DATA].[AUTORIZATION_LINE].[PTA_BNF.LINE_NUMBER];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;FILE_ID;int32;;;[DATA].[AUTORIZATION_LINE].[PTA_BNF.FILE_ID];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;JOB_ID;int32;;;[DATA].[AUTORIZATION_LINE].[PTA_BNF.JOB_ID];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;BEGIN_TT;timeStampTZ;;;[DATA].[AUTORIZATION_LINE].[PTA_BNF.BEGIN_TT];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;END_TT;timeStampTZ;;;[DATA].[AUTORIZATION_LINE].[PTA_BNF.END_TT];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;HOST_PRTY_ID;characterLength16;;;[DATA].[AUTORIZATION_LINE].[PTA_BNF.HOST_PRTY_ID];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;AGMT_ID;characterLength16;;;[DATA].[AUTORIZATION_LINE].[PTA_TIT.AGMT_ID];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;PRTY_ID;characterLength16;Identifiant du Tiers en risque;Permet d'identifier de manière unique le tiers dans le système Zone de Partage;[DATA].[AUTORIZATION_LINE].[PTA_TIT.PRTY_ID];true;Identifier;;;Field
TEC_AUTORIZATION_LINE;Final;;;PRTY_AGMT_ROLE_CD;characterLength16;;;[DATA].[AUTORIZATION_LINE].[PTA_TIT.PRTY_AGMT_ROLE_CD];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;CENTRL_MGMT_IND;character;;;[DATA].[AUTORIZATION_LINE].[PTA_TIT.CENTRL_MGMT_IND];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;NATL_IDNTFTN_TYPE_CD;characterLength16;;;[DATA].[AUTORIZATION_LINE].[PTA_TIT.NATL_IDNTFTN_TYPE_CD];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;NATL_IDNTFTN_ID;characterLength16;;;[DATA].[AUTORIZATION_LINE].[PTA_TIT.NATL_IDNTFTN_ID];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;STTM_DT;date;;;[DATA].[AUTORIZATION_LINE].[PTA_TIT.STTM_DT];true;Identifier;;;Field
TEC_AUTORIZATION_LINE;Final;;;STTM_TYPE_CD;characterLength16;;;[DATA].[AUTORIZATION_LINE].[PTA_TIT.STTM_TYPE_CD];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;POSTNG_ENT_ID;characterLength16;;;[DATA].[AUTORIZATION_LINE].[PTA_TIT.POSTNG_ENT_ID];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;ENT_ID;int32;Entité rattachée au Tiers en risque;;[DATA].[AUTORIZATION_LINE].[PTA_TIT.ENT_ID];true;Identifier;;;Field
TEC_AUTORIZATION_LINE;Final;;;FLOW_TYPE_CD;characterLength16;;;[DATA].[AUTORIZATION_LINE].[PTA_TIT.FLOW_TYPE_CD];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;FLOW_SCOPE;characterLength16;;;[DATA].[AUTORIZATION_LINE].[PTA_TIT.FLOW_SCOPE];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;SOURCE_SYSTEM;characterLength16;;;[DATA].[AUTORIZATION_LINE].[PTA_TIT.SOURCE_SYSTEM];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;STATUS;characterLength16;;;[DATA].[AUTORIZATION_LINE].[PTA_TIT.STATUS];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;LINE_NUMBER;int32;;;[DATA].[AUTORIZATION_LINE].[PTA_TIT.LINE_NUMBER];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;FILE_ID;int32;;;[DATA].[AUTORIZATION_LINE].[PTA_TIT.FILE_ID];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;JOB_ID;int32;;;[DATA].[AUTORIZATION_LINE].[PTA_TIT.JOB_ID];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;BEGIN_TT;timeStampTZ;;;[DATA].[AUTORIZATION_LINE].[PTA_TIT.BEGIN_TT];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;END_TT;timeStampTZ;;;[DATA].[AUTORIZATION_LINE].[PTA_TIT.END_TT];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;HOST_PRTY_ID;characterLength16;;;[DATA].[AUTORIZATION_LINE].[PTA_TIT.HOST_PRTY_ID];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;AGMT_ID;characterLength16;;;[DATA].[AUTORIZATION_LINE].[EX_AL.AGMT_ID];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;EXPSR_SBTYPE_CD;characterLength16;Sous-type contrat exposition;;[DATA].[AUTORIZATION_LINE].[EX_AL.EXPSR_SBTYPE_CD];false;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;EXPSR_NATR_CD;characterLength16;Nature exposition;;[DATA].[AUTORIZATION_LINE].[EX_AL.EXPSR_NATR_CD];false;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;RISK_TYPE_CD;characterLength16;Type risque;;[DATA].[AUTORIZATION_LINE].[EX_AL.RISK_TYPE_CD];false;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;FAC_AMT;decimal;Montant Ligne d'autorisation;;[DATA].[AUTORIZATION_LINE].[EX_AL.FAC_AMT];false;Fact;;;Field
TEC_AUTORIZATION_LINE;Final;;;SRY_LVL_CD;characterLength16;;;[DATA].[AUTORIZATION_LINE].[EX_AL.SRY_LVL_CD];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;SYNDN_IND;character;;;[DATA].[AUTORIZATION_LINE].[EX_AL.SYNDN_IND];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;SCURTZN_IND;character;;;[DATA].[AUTORIZATION_LINE].[EX_AL.SCURTZN_IND];true;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;BSL_II_APRCH_TYPE_CD;characterLength16;Méthodologie Bâloise;Correspond à la méthode de calcul des risques pondérés dans Bâle.;[DATA].[AUTORIZATION_LINE].[EX_AL.BSL_II_APRCH_TYPE_CD];false;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;RWA_ENGN_CD;characterLength16;Traitement moteur;;[DATA].[AUTORIZATION_LINE].[EX_AL.RWA_ENGN_CD];false;Attribute;;;Field
TEC_AUTORIZATION_LINE;Final;;;GRR_ENGN_CD;characterLength16;;;[DATA].[AUTORIZATION_LINE].[EX_AL.GRR_ENGN_CD];true;Attribute;;;Field
